gold,fault,category,expected,detected,diagnosed,localized,repair_applicable,repaired,repair_reason,codes
merge_dual,broken_binding,dataflow,BROKEN_BINDING,True,True,True,True,False,REPAIR_REJECTED_NO_IMPROVEMENT,DEAD_NODE|DEAD_NODE|DEAD_NODE|DEAD_NODE|DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION|ORDER_VIOLATION|BROKEN_BINDING
merge_dual,hardcoded_secret,safety,HARDCODED_SECRET,True,True,True,True,True,accepted,HARDCODED_SECRET
merge_dual,unsafe_webhook,safety,UNRESTRICTED_WEBHOOK,True,True,True,True,True,accepted,UNRESTRICTED_WEBHOOK
dataflow_typed,clean,clean,PASS,False,False,False,False,False,clean,
dataflow_typed,orphan_node,structural,DEAD_NODE,True,True,True,True,True,accepted,DEAD_NODE
dataflow_typed,broken_edge,structural,DEAD_NODE,True,True,False,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION
dataflow_typed,missing_required_action,semantic,MISSING_HUMAN_GATE,True,True,False,True,True,accepted,MISSING_HUMAN_GATE|MISSING_REQUIRED_ACTION
dataflow_typed,wrong_order,ordering,ORDER_VIOLATION,True,True,True,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION
dataflow_typed,missing_branch,branch,WEAK_BOUNDS,True,True,False,True,False,REPAIR_REJECTED_NO_IMPROVEMENT,DEAD_NODE|MISSING_REQUIRED_ACTION|WEAK_BOUNDS
dataflow_typed,wrong_parameter,parameter,GUARD_NOT_EXPR,True,True,True,True,True,accepted,GUARD_NOT_EXPR|WEAK_BOUNDS
dataflow_typed,broken_binding,dataflow,BROKEN_BINDING,True,True,True,True,False,REPAIR_REJECTED_NO_IMPROVEMENT,DEAD_NODE|DEAD_NODE|DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION|ORDER_VIOLATION|BROKEN_BINDING
dataflow_typed,hardcoded_secret,safety,HARDCODED_SECRET,True,True,True,True,True,accepted,HARDCODED_SECRET
dataflow_typed,unsafe_webhook,safety,UNRESTRICTED_WEBHOOK,True,True,True,True,True,accepted,UNRESTRICTED_WEBHOOK
safety_env,clean,clean,PASS,False,False,False,False,False,clean,
safety_env,orphan_node,structural,DEAD_NODE,True,True,True,True,True,accepted,DEAD_NODE
safety_env,broken_edge,structural,DEAD_NODE,True,True,False,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION
safety_env,missing_required_action,semantic,MISSING_HUMAN_GATE,True,True,False,True,True,accepted,MISSING_HUMAN_GATE|MISSING_REQUIRED_ACTION
safety_env,wrong_order,ordering,ORDER_VIOLATION,True,True,True,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION
safety_env,missing_branch,branch,WEAK_BOUNDS,True,True,False,True,False,REPAIR_REJECTED_NO_IMPROVEMENT,MISSING_REQUIRED_ACTION|WEAK_BOUNDS
safety_env,wrong_parameter,parameter,GUARD_NOT_EXPR,True,True,True,True,True,accepted,GUARD_NOT_EXPR|WEAK_BOUNDS
safety_env,broken_binding,dataflow,BROKEN_BINDING,True,True,True,True,True,accepted,DEAD_NODE|DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION|ORDER_VIOLATION|BROKEN_BINDING
safety_env,hardcoded_secret,safety,HARDCODED_SECRET,True,True,True,True,True,accepted,HARDCODED_SECRET
safety_env,unsafe_webhook,safety,UNRESTRICTED_WEBHOOK,True,True,True,True,True,accepted,UNRESTRICTED_WEBHOOK
branch_notify,clean,clean,PASS,False,False,False,False,False,clean,
branch_notify,orphan_node,structural,DEAD_NODE,True,True,True,True,True,accepted,DEAD_NODE
branch_notify,broken_edge,structural,DEAD_NODE,True,True,False,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION
branch_notify,missing_required_action,semantic,MISSING_HUMAN_GATE,True,True,False,True,True,accepted,MISSING_HUMAN_GATE|MISSING_REQUIRED_ACTION
branch_notify,wrong_order,ordering,ORDER_VIOLATION,True,True,True,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION
branch_notify,missing_branch,branch,WEAK_BOUNDS,True,True,False,True,False,REPAIR_REJECTED_NO_IMPROVEMENT,MISSING_REQUIRED_ACTION|WEAK_BOUNDS
branch_notify,wrong_parameter,parameter,GUARD_NOT_EXPR,True,True,True,True,True,accepted,GUARD_NOT_EXPR|WEAK_BOUNDS
branch_notify,broken_binding,dataflow,BROKEN_BINDING,True,True,True,True,False,REPAIR_REJECTED_INVALID_PATCH,DEAD_NODE|DEAD_NODE|DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION|ORDER_VIOLATION|BROKEN_BINDING
branch_notify,hardcoded_secret,safety,HARDCODED_SECRET,True,True,True,True,True,accepted,HARDCODED_SECRET
branch_notify,unsafe_webhook,safety,UNRESTRICTED_WEBHOOK,True,True,True,True,True,accepted,UNRESTRICTED_WEBHOOK
branch_notify,runtime_skip_after_branch,runtime,eventually notify,True,True,True,False,False,runtime-only fault; static repair loop does not observe skip_after / branch choice,
branch_notify,runtime_false_branch_missing_notify,runtime,eventually notify,True,True,True,False,False,runtime-only fault; static repair loop does not observe skip_after / branch choice,
branch_notify,runtime_skip_after_notify,runtime,eventually publish_problem,True,True,True,False,False,runtime-only fault; static repair loop does not observe skip_after / branch choice,
linear_compose,runtime_skip_after_review,runtime,eventually publish_problem,True,True,True,False,False,runtime-only fault; static repair loop does not observe skip_after / branch choice,
merge_dual,runtime_skip_after_join,runtime,eventually publish_problem,True,True,True,False,False,runtime-only fault; static repair loop does not observe skip_after / branch choice,
